,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
1216544,46,48,2020,Royal Challengers Bangalore,Chennai Super Kings,Sheikh Zayed Stadium
1216543,47,50,2020,Delhi Capitals,Rajasthan Royals,Dubai International Cricket Stadium
1216542,58,45,2020,Sunrisers Hyderabad,Punjab Kings,Sharjah Cricket Stadium
1216541,59,55,2020,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium
1216540,47,43,2020,Royal Challengers Bangalore,Kolkata Knight Riders,Dubai International Cricket Stadium
1216539,36,34,2020,Delhi Capitals,Chennai Super Kings,Sheikh Zayed Stadium
1216538,48,56,2020,Mumbai Indians,Sunrisers Hyderabad,Dubai International Cricket Stadium
1216537,53,66,2020,Punjab Kings,Rajasthan Royals,Sharjah Cricket Stadium
1216536,48,44,2020,Kolkata Knight Riders,Chennai Super Kings,Sheikh Zayed Stadium
1216535,22,38,2020,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium
1216534,53,48,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Dubai International Cricket Stadium
1216533,43,31,2020,Chennai Super Kings,Rajasthan Royals,Sheikh Zayed Stadium
1216532,38,34,2020,Sunrisers Hyderabad,Delhi Capitals,Sharjah Cricket Stadium
1216531,57,56,2020,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium
1216530,55,41,2020,Kolkata Knight Riders,Rajasthan Royals,Sheikh Zayed Stadium
1216529,46,44,2020,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium
1216528,44,40,2020,Chennai Super Kings,Sunrisers Hyderabad,Sheikh Zayed Stadium
1216527,60,69,2020,Punjab Kings,Rajasthan Royals,Sheikh Zayed Stadium
1216526,33,51,2020,Kolkata Knight Riders,Mumbai Indians,Dubai International Cricket Stadium
1216525,36,26,2020,Royal Challengers Bangalore,Chennai Super Kings,Dubai International Cricket Stadium
1216524,77,54,2020,Sunrisers Hyderabad,Delhi Capitals,Sharjah Cricket Stadium
1216523,25,47,2020,Kolkata Knight Riders,Punjab Kings,Sheikh Zayed Stadium
1216522,52,47,2020,Rajasthan Royals,Royal Challengers Bangalore,Sharjah Cricket Stadium
1216521,24,52,2020,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium
1216520,54,36,2020,Kolkata Knight Riders,Punjab Kings,Dubai International Cricket Stadium
1216519,63,43,2020,Delhi Capitals,Royal Challengers Bangalore,Sharjah Cricket Stadium
1216518,47,58,2020,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium
1216517,43,51,2020,Mumbai Indians,Punjab Kings,Sheikh Zayed Stadium
1216516,42,36,2020,Sunrisers Hyderabad,Chennai Super Kings,Sheikh Zayed Stadium
1216515,57,59,2020,Delhi Capitals,Kolkata Knight Riders,Dubai International Cricket Stadium
1216514,38,50,2020,Rajasthan Royals,Royal Challengers Bangalore,Sharjah Cricket Stadium
1216513,46,60,2020,Punjab Kings,Chennai Super Kings,Dubai International Cricket Stadium
1216512,48,58,2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sheikh Zayed Stadium
1216511,57,31,2020,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium
1216510,50,40,2020,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium
1216509,39,41,2020,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium
1216508,59,33,2020,Mumbai Indians,Kolkata Knight Riders,Sharjah Cricket Stadium
1216507,26,36,2020,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium
1216506,53,57,2020,Punjab Kings,Chennai Super Kings,Sharjah Cricket Stadium
1216505,40,53,2020,Royal Challengers Bangalore,Delhi Capitals,Dubai International Cricket Stadium
1216504,42,39,2020,Kolkata Knight Riders,Rajasthan Royals,Sheikh Zayed Stadium
1216503,41,41,2020,Mumbai Indians,Punjab Kings,Dubai International Cricket Stadium
1216502,30,58,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sheikh Zayed Stadium
1216501,52,54,2020,Kolkata Knight Riders,Chennai Super Kings,Dubai International Cricket Stadium
1216500,51,41,2020,Delhi Capitals,Rajasthan Royals,Sharjah Cricket Stadium
1216499,54,45,2020,Royal Challengers Bangalore,Mumbai Indians,Sheikh Zayed Stadium
1216498,47,52,2020,Punjab Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium
1216497,36,36,2020,Kolkata Knight Riders,Delhi Capitals,Dubai International Cricket Stadium
1216496,54,53,2020,Rajasthan Royals,Chennai Super Kings,Sheikh Zayed Stadium
1216495,48,56,2020,Mumbai Indians,Sunrisers Hyderabad,Sharjah Cricket Stadium
1216494,17,44,2020,Kolkata Knight Riders,Royal Challengers Bangalore,Dubai International Cricket Stadium
1216493,23,35,2020,Delhi Capitals,Punjab Kings,Dubai International Cricket Stadium
1216492,51,37,2020,Mumbai Indians,Chennai Super Kings,Sheikh Zayed Stadium
1181768,45,53,2019,Mumbai Indians,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
1181767,41,42,2019,Delhi Capitals,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
