,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
392223,56,50,2009,Delhi Capitals,Deccan Chargers,Kingsmead
392222,51,42,2009,Punjab Kings,Mumbai Indians,SuperSport Park
392221,38,46,2009,Kolkata Knight Riders,Royal Challengers Bangalore,SuperSport Park
392220,42,30,2009,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval
392219,37,47,2009,Kolkata Knight Riders,Delhi Capitals,New Wanderers Stadium
392218,46,39,2009,Mumbai Indians,Royal Challengers Bangalore,St George's Park
392217,34,37,2009,Rajasthan Royals,Chennai Super Kings,De Beers Diamond Oval
392216,52,45,2009,Deccan Chargers,Punjab Kings,De Beers Diamond Oval
392215,30,36,2009,Mumbai Indians,Delhi Capitals,Buffalo Park
392214,57,53,2009,Chennai Super Kings,Punjab Kings,SuperSport Park
392213,29,31,2009,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park
392212,37,41,2009,Deccan Chargers,Mumbai Indians,SuperSport Park
392211,54,57,2009,Kolkata Knight Riders,Delhi Capitals,Kingsmead
392210,57,29,2009,Rajasthan Royals,Punjab Kings,Kingsmead
392209,53,52,2009,Chennai Super Kings,Deccan Chargers,Buffalo Park
392208,25,51,2009,Mumbai Indians,Royal Challengers Bangalore,New Wanderers Stadium
392207,28,51,2009,Kolkata Knight Riders,Punjab Kings,St George's Park
392206,53,49,2009,Chennai Super Kings,Delhi Capitals,St George's Park
392205,39,30,2009,Deccan Chargers,Rajasthan Royals,New Wanderers Stadium
392204,38,35,2009,Royal Challengers Bangalore,Punjab Kings,Buffalo Park
392203,40,26,2009,Mumbai Indians,Kolkata Knight Riders,Kingsmead
392202,40,38,2009,Chennai Super Kings,Rajasthan Royals,SuperSport Park
392201,37,41,2009,Deccan Chargers,Delhi Capitals,SuperSport Park
392200,26,23,2009,Punjab Kings,Mumbai Indians,Kingsmead
392199,45,46,2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kingsmead
392198,42,33,2009,Delhi Capitals,Rajasthan Royals,SuperSport Park
392197,61,47,2009,Mumbai Indians,Kolkata Knight Riders,St George's Park
392196,62,69,2009,Chennai Super Kings,Deccan Chargers,Kingsmead
392195,38,32,2009,Punjab Kings,Rajasthan Royals,St George's Park
392194,45,43,2009,Royal Challengers Bangalore,Delhi Capitals,Newlands
392192,55,50,2009,Deccan Chargers,Mumbai Indians,Kingsmead
392191,49,44,2009,Royal Challengers Bangalore,Punjab Kings,Kingsmead
392190,54,38,2009,Rajasthan Royals,Kolkata Knight Riders,Newlands
392189,59,61,2009,Delhi Capitals,Chennai Super Kings,Kingsmead
392188,62,31,2009,Deccan Chargers,Royal Challengers Bangalore,Newlands
392186,46,60,2009,Punjab Kings,Kolkata Knight Riders,Kingsmead
392185,68,46,2009,Chennai Super Kings,Royal Challengers Bangalore,St George's Park
392184,21,37,2009,Kolkata Knight Riders,Deccan Chargers,Newlands
392183,67,58,2009,Punjab Kings,Delhi Capitals,Newlands
392182,29,14,2009,Royal Challengers Bangalore,Rajasthan Royals,Newlands
392181,40,40,2009,Mumbai Indians,Chennai Super Kings,Newlands
336040,42,41,2008,Chennai Super Kings,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai"
336039,35,35,2008,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai"
336038,58,28,2008,Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mumbai"
336037,26,44,2008,Deccan Chargers,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
336036,29,36,2008,Mumbai Indians,Rajasthan Royals,M Chinnaswamy Stadium
336035,47,51,2008,Punjab Kings,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
336034,46,33,2008,Royal Challengers Bangalore,Deccan Chargers,Sawai Mansingh Stadium
336033,67,65,2008,Rajasthan Royals,Chennai Super Kings,"Eden Gardens, Kolkata"
336032,60,56,2008,Mumbai Indians,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
336031,42,74,2008,Deccan Chargers,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
336029,23,44,2008,Royal Challengers Bangalore,Chennai Super Kings,Feroz Shah Kotla
336028,43,68,2008,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
336027,32,42,2008,Kolkata Knight Riders,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai"
336026,41,71,2008,Royal Challengers Bangalore,Delhi Capitals,"Wankhede Stadium, Mumbai"
336025,35,43,2008,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata"
336024,57,32,2008,Mumbai Indians,Deccan Chargers,M Chinnaswamy Stadium
336023,51,23,2008,Rajasthan Royals,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
336022,68,73,2008,Delhi Capitals,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
336021,27,68,2008,Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla
336020,48,71,2008,Delhi Capitals,Deccan Chargers,Sawai Mansingh Stadium
336019,51,38,2008,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai"
336018,28,78,2008,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla
336017,35,37,2008,Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai"
336016,50,42,2008,Royal Challengers Bangalore,Punjab Kings,"Eden Gardens, Kolkata"
336015,47,21,2008,Delhi Capitals,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
336014,43,55,2008,Kolkata Knight Riders,Deccan Chargers,Sawai Mansingh Stadium
336013,53,35,2008,Chennai Super Kings,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
336012,36,39,2008,Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
336011,50,50,2008,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium
336010,41,35,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Feroz Shah Kotla
336009,50,62,2008,Delhi Capitals,Chennai Super Kings,"Eden Gardens, Kolkata"
336008,48,34,2008,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai"
336007,34,50,2008,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk, Chennai"
336006,26,52,2008,Royal Challengers Bangalore,Punjab Kings,M Chinnaswamy Stadium
336005,38,44,2008,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
336004,50,37,2008,Mumbai Indians,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai"
336003,49,31,2008,Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium
336002,41,43,2008,Deccan Chargers,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
336001,47,64,2008,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
336000,45,51,2008,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
335999,50,41,2008,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
335998,58,55,2008,Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla
335997,40,38,2008,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata"
335996,36,45,2008,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
335995,45,55,2008,Delhi Capitals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
335994,27,60,2008,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai"
335993,61,45,2008,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
335992,57,45,2008,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium
335991,60,39,2008,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
335990,58,73,2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
335989,53,52,2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
335988,25,48,2008,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
335987,54,53,2008,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium
335986,39,26,2008,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata"
335985,47,40,2008,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
335984,40,55,2008,Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla
335983,53,63,2008,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
335982,61,26,2008,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
